Start= Hong Kong, Goal= JFK, Date= 11/07/19, Time= 01:27:00, Changes= 1, Duration= 9, Cost= 622
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 19:55:00, Changes= 0, Duration= 8, Cost= 572
Start= JFK, Goal= Düsseldorf, Date= 11/07/19, Time= 00:48:00, Changes= 4, Duration= 15, Cost= 314
Start= JFK, Goal= Düsseldorf, Date= 11/07/19, Time= 22:58:00, Changes= 5, Duration= 19, Cost= 77
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 22:58:00, Changes= 0, Duration= 7, Cost= 590
Start= Düsseldorf, Goal= NewArk, Date= 11/07/19, Time= 21:08:00, Changes= 4, Duration= 20, Cost= 402
Start= JFK, Goal= Düsseldorf, Date= 11/07/19, Time= 13:31:00, Changes= 3, Duration= 18, Cost= 438
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 09:36:00, Changes= 2, Duration= 10, Cost= 373
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 05:53:00, Changes= 1, Duration= 12, Cost= 530
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 23:15:00, Changes= 2, Duration= 13, Cost= 510
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 18:12:00, Changes= 5, Duration= 24, Cost= 375
Start= JFK, Goal= Hong Kong, Date= 11/07/19, Time= 13:43:00, Changes= 4, Duration= 11, Cost= 215
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 02:06:00, Changes= 1, Duration= 11, Cost= 572
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 04:04:00, Changes= 0, Duration= 8, Cost= 660
Start= JFK, Goal= Düsseldorf, Date= 11/07/19, Time= 16:38:00, Changes= 1, Duration= 12, Cost= 572
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 21:43:00, Changes= 4, Duration= 19, Cost= 375
Start= Düsseldorf, Goal= NewArk, Date= 11/07/19, Time= 09:11:00, Changes= 5, Duration= 23, Cost= 126
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 17:19:00, Changes= 0, Duration= 9, Cost= 596
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 06:09:00, Changes= 5, Duration= 17, Cost= 231
Start= Hong Kong, Goal= NewArk, Date= 11/07/19, Time= 11:40:00, Changes= 3, Duration= 12, Cost= 369
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 19:43:00, Changes= 2, Duration= 10, Cost= 556
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 12:25:00, Changes= 1, Duration= 9, Cost= 503
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 19:57:00, Changes= 0, Duration= 7, Cost= 512
Start= Hong Kong, Goal= NewArk, Date= 11/07/19, Time= 22:10:00, Changes= 0, Duration= 9, Cost= 625
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 02:10:00, Changes= 4, Duration= 21, Cost= 310
Start= NewArk, Goal= Hong Kong, Date= 11/07/19, Time= 14:57:00, Changes= 2, Duration= 14, Cost= 344
Start= JFK, Goal= Hong Kong, Date= 11/07/19, Time= 04:53:00, Changes= 5, Duration= 22, Cost= 282
Start= NewArk, Goal= Hong Kong, Date= 11/07/19, Time= 02:04:00, Changes= 1, Duration= 9, Cost= 574
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 04:29:00, Changes= 2, Duration= 15, Cost= 454
Start= JFK, Goal= Düsseldorf, Date= 11/07/19, Time= 02:06:00, Changes= 2, Duration= 12, Cost= 533
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 01:52:00, Changes= 0, Duration= 9, Cost= 634
Start= Hong Kong, Goal= NewArk, Date= 11/07/19, Time= 22:47:00, Changes= 4, Duration= 15, Cost= 247
Start= NewArk, Goal= Hong Kong, Date= 11/07/19, Time= 01:40:00, Changes= 1, Duration= 8, Cost= 586
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 06:57:00, Changes= 0, Duration= 9, Cost= 550
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 05:59:00, Changes= 4, Duration= 16, Cost= 252
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 17:13:00, Changes= 0, Duration= 9, Cost= 675
Start= Hong Kong, Goal= NewArk, Date= 11/07/19, Time= 07:04:00, Changes= 2, Duration= 11, Cost= 425
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 17:58:00, Changes= 0, Duration= 7, Cost= 610
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 17:35:00, Changes= 0, Duration= 9, Cost= 559
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 01:50:00, Changes= 2, Duration= 12, Cost= 518
Start= JFK, Goal= Düsseldorf, Date= 11/07/19, Time= 11:44:00, Changes= 0, Duration= 8, Cost= 616
Start= Düsseldorf, Goal= NewArk, Date= 11/07/19, Time= 17:20:00, Changes= 5, Duration= 12, Cost= 339
Start= JFK, Goal= Hong Kong, Date= 11/07/19, Time= 02:48:00, Changes= 4, Duration= 12, Cost= 349
Start= Hong Kong, Goal= NewArk, Date= 11/07/19, Time= 15:31:00, Changes= 2, Duration= 11, Cost= 384
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 13:08:00, Changes= 4, Duration= 17, Cost= 325
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 09:04:00, Changes= 3, Duration= 11, Cost= 383
Start= Hong Kong, Goal= JFK, Date= 11/07/19, Time= 05:55:00, Changes= 0, Duration= 7, Cost= 573
Start= NewArk, Goal= Hong Kong, Date= 11/07/19, Time= 19:44:00, Changes= 0, Duration= 7, Cost= 535
Start= JFK, Goal= Düsseldorf, Date= 11/07/19, Time= 07:39:00, Changes= 0, Duration= 7, Cost= 645
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 11:24:00, Changes= 4, Duration= 17, Cost= 262
Start= Hong Kong, Goal= JFK, Date= 11/07/19, Time= 21:46:00, Changes= 2, Duration= 11, Cost= 362
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 07:02:00, Changes= 0, Duration= 8, Cost= 596
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 13:01:00, Changes= 4, Duration= 19, Cost= 304
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 19:12:00, Changes= 1, Duration= 11, Cost= 552
Start= Düsseldorf, Goal= NewArk, Date= 11/07/19, Time= 00:46:00, Changes= 0, Duration= 9, Cost= 617
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 03:48:00, Changes= 2, Duration= 10, Cost= 492
Start= JFK, Goal= Hong Kong, Date= 11/07/19, Time= 17:22:00, Changes= 3, Duration= 11, Cost= 269
Start= Düsseldorf, Goal= NewArk, Date= 11/07/19, Time= 22:13:00, Changes= 2, Duration= 13, Cost= 352
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 12:02:00, Changes= 3, Duration= 18, Cost= 239
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 09:50:00, Changes= 4, Duration= 15, Cost= 143
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 00:09:00, Changes= 4, Duration= 15, Cost= 334
Start= JFK, Goal= Hong Kong, Date= 11/07/19, Time= 19:18:00, Changes= 3, Duration= 13, Cost= 213
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 12:51:00, Changes= 1, Duration= 9, Cost= 516
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 04:51:00, Changes= 4, Duration= 15, Cost= 217
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 02:14:00, Changes= 2, Duration= 11, Cost= 473
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 18:13:00, Changes= 2, Duration= 12, Cost= 342
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 16:22:00, Changes= 4, Duration= 15, Cost= 188
Start= NewArk, Goal= Hong Kong, Date= 11/07/19, Time= 19:26:00, Changes= 5, Duration= 17, Cost= 207
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 17:09:00, Changes= 3, Duration= 18, Cost= 278
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 16:25:00, Changes= 3, Duration= 11, Cost= 470
Start= Düsseldorf, Goal= NewArk, Date= 11/07/19, Time= 03:41:00, Changes= 0, Duration= 7, Cost= 635
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 08:07:00, Changes= 2, Duration= 11, Cost= 521
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 01:18:00, Changes= 3, Duration= 11, Cost= 268
Start= Hong Kong, Goal= JFK, Date= 11/07/19, Time= 01:49:00, Changes= 3, Duration= 14, Cost= 434
Start= Hong Kong, Goal= JFK, Date= 11/07/19, Time= 04:13:00, Changes= 5, Duration= 23, Cost= 220
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 09:05:00, Changes= 5, Duration= 22, Cost= 313
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 07:56:00, Changes= 5, Duration= 18, Cost= 352
Start= Düsseldorf, Goal= JFK, Date= 11/07/19, Time= 02:26:00, Changes= 0, Duration= 9, Cost= 521
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 15:53:00, Changes= 4, Duration= 15, Cost= 239
Start= Hong Kong, Goal= NewArk, Date= 11/07/19, Time= 12:18:00, Changes= 0, Duration= 9, Cost= 598
Start= Hong Kong, Goal= JFK, Date= 11/07/19, Time= 11:36:00, Changes= 4, Duration= 17, Cost= 334
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 01:42:00, Changes= 0, Duration= 7, Cost= 594
Start= JFK, Goal= Hong Kong, Date= 11/07/19, Time= 06:08:00, Changes= 3, Duration= 15, Cost= 452
Start= Hong Kong, Goal= JFK, Date= 11/07/19, Time= 16:25:00, Changes= 1, Duration= 9, Cost= 463
Start= NewArk, Goal= Hong Kong, Date= 11/07/19, Time= 04:52:00, Changes= 1, Duration= 11, Cost= 451
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 13:11:00, Changes= 2, Duration= 14, Cost= 412
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 00:24:00, Changes= 0, Duration= 9, Cost= 560
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 13:16:00, Changes= 1, Duration= 12, Cost= 563
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 08:04:00, Changes= 3, Duration= 10, Cost= 247
Start= NewArk, Goal= Düsseldorf, Date= 11/07/19, Time= 12:27:00, Changes= 1, Duration= 12, Cost= 487
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 04:23:00, Changes= 3, Duration= 18, Cost= 463
Start= NewArk, Goal= Hong Kong, Date= 11/07/19, Time= 14:05:00, Changes= 3, Duration= 15, Cost= 407
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 00:01:00, Changes= 4, Duration= 15, Cost= 138
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 23:15:00, Changes= 1, Duration= 9, Cost= 509
Start= Hong Kong, Goal= Düsseldorf, Date= 11/07/19, Time= 10:21:00, Changes= 0, Duration= 8, Cost= 655
Start= Düsseldorf, Goal= NewArk, Date= 11/07/19, Time= 01:01:00, Changes= 3, Duration= 16, Cost= 465
Start= Düsseldorf, Goal= Hong Kong, Date= 11/07/19, Time= 03:28:00, Changes= 2, Duration= 14, Cost= 370
Start= Hong Kong, Goal= NewArk, Date= 11/07/19, Time= 03:02:00, Changes= 2, Duration= 11, Cost= 570
